"","Site.ID","Latitude..degrees.","Longitude..degrees.","Elevation..m."
"207","US-UiC",40.0628,-88.1961,224
"208","US-UiD",40.0646,-88.1985,224
"209","US-UM3",45.5686,-84.6707,234
"210","US-UTB",40.7848,-113.8299,1287
"211","US-UTD",38.1038,-109.5952,1580
"212","US-UTE",37.7353,-111.5708,1729.3
"213","US-UTJ",37.2818,-109.5348,1281
"214","US-UTM",38.5879,-109.5775,1207
"215","US-UTN",39.6896,-111.8814,1529
"216","US-UTP",41.0604,-112.1013,1281
"217","US-UTV",40.1266,-109.9546,1539
"218","US-UTW",39.4453,-110.7288,1682
"219","US-Vcs",35.9193,-106.6142,2752
"220","US-WPT",41.4646,-82.9962,175
"221","US-WT1",34.3674,-101.8154,1058
"222","US-xPU",19.5531,-155.3173,1685
"223","US-YK1",61.2723,-163.2228,15
"224","US-YK2",61.2548,-163.259,15
