site_id,lon,lat,site_name
6661,-83.1708343505859,32.5291676839193,weighted_sample
6662,-82.1125010172526,32.5208343505859,weighted_sample
6663,-109.004167683919,32.5125010172526,weighted_sample
6664,-94.4791676839193,32.5125010172526,weighted_sample
6665,-86.1375010172526,32.5125010172526,weighted_sample
6666,-85.7708343505859,32.5125010172526,weighted_sample
6667,-105.562501017253,32.5041676839193,weighted_sample
6668,-83.3125010172526,32.4958343505859,weighted_sample
6669,-83.4791676839193,32.4875010172526,weighted_sample
6670,-107.370834350586,32.4791676839193,ameriflux
6671,-108.329167683919,32.4625010172526,weighted_sample
6672,-104.354167683919,32.4625010172526,weighted_sample
6673,-91.9708343505859,32.4541676839193,ameriflux
6674,-111.095834350586,32.4458343505859,weighted_sample
6675,-98.820834350586,32.4458343505859,weighted_sample
6676,-92.3708343505859,32.4458343505859,weighted_sample
6677,-89.0958343505859,32.4458343505859,weighted_sample
6678,-88.4291676839193,32.4458343505859,weighted_sample
6679,-105.787501017253,32.4375010172526,weighted_sample
6680,-90.4875010172526,32.4375010172526,weighted_sample
6681,-115.295834350586,32.4291676839193,weighted_sample
6682,-111.004167683919,32.4291676839193,weighted_sample
6683,-81.8791676839193,32.4291676839193,ameriflux
6684,-110.729167683919,32.4208343505859,ameriflux
6685,-107.495834350586,32.4208343505859,weighted_sample
6686,-88.8875010172526,32.4125010172526,weighted_sample
6687,-83.745834350586,32.4041676839193,weighted_sample
6688,-102.570834350586,32.3958343505859,weighted_sample
6689,-101.129167683919,32.3958343505859,ameriflux
6690,-81.5958343505859,32.3958343505859,weighted_sample
6691,-81.2625010172526,32.3791676839193,weighted_sample
6692,-95.6041676839193,32.3625010172526,weighted_sample
6693,-93.3541676839193,32.3625010172526,weighted_sample
6694,-92.9458343505859,32.3625010172526,weighted_sample
6695,-90.3791676839193,32.3625010172526,weighted_sample
6696,-87.9708343505859,32.3541676839193,ameriflux
6697,-82.9791676839193,32.3541676839193,weighted_sample
6698,-109.704167683919,32.3375010172526,weighted_sample
6699,-106.070834350586,32.3375010172526,weighted_sample
6700,-94.4875010172526,32.3291676839193,weighted_sample
6701,-82.6208343505859,32.3125010172526,weighted_sample
6702,-90.3291676839193,32.2958343505859,ameriflux
6703,-83.7041676839193,32.2958343505859,weighted_sample
6704,-105.854167683919,32.2875010172526,weighted_sample
6705,-94.2458343505859,32.2875010172526,weighted_sample
6706,-93.9541676839193,32.2875010172526,ameriflux
6707,-107.037501017253,32.2791676839193,weighted_sample
6708,-88.9875010172526,32.2708343505859,weighted_sample
6709,-91.1208343505859,32.2625010172526,weighted_sample
6710,-83.1791676839193,32.2541676839193,weighted_sample
6711,-81.5208343505859,32.2541676839193,weighted_sample
6712,-84.5208343505859,32.2458343505859,weighted_sample
6713,-112.179167683919,32.2208343505859,weighted_sample
6714,-83.9625010172526,32.2208343505859,weighted_sample
6715,-82.2458343505859,32.2208343505859,weighted_sample
6716,-110.245834350586,32.2125010172526,weighted_sample
6717,-116.654167683919,32.2041676839193,weighted_sample
6718,-107.970834350586,32.2041676839193,weighted_sample
6719,-94.4041676839193,32.2041676839193,weighted_sample
