"site","pft"
319,"semiarid.grassland_HPDA"
320,"semiarid.grassland_HPDA"
321,"semiarid.grassland_HPDA"
322,"semiarid.grassland_HPDA"
323,"semiarid.grassland_HPDA"
324,"semiarid.grassland_HPDA"
325,"semiarid.grassland_HPDA"
326,"semiarid.grassland_HPDA"
327,"semiarid.grassland_HPDA"
328,"semiarid.grassland_HPDA"
329,"semiarid.grassland_HPDA"
330,"semiarid.grassland_HPDA"
331,"semiarid.grassland_HPDA"
332,"semiarid.grassland_HPDA"
333,"semiarid.grassland_HPDA"
334,"semiarid.grassland_HPDA"
335,"semiarid.grassland_HPDA"
336,"semiarid.grassland_HPDA"
337,"semiarid.grassland_HPDA"
338,"semiarid.grassland_HPDA"
339,"semiarid.grassland_HPDA"
340,"semiarid.grassland_HPDA"
341,"semiarid.grassland_HPDA"
342,"semiarid.grassland_HPDA"
343,"semiarid.grassland_HPDA"
344,"semiarid.grassland_HPDA"
345,"semiarid.grassland_HPDA"
346,"semiarid.grassland_HPDA"
347,"semiarid.grassland_HPDA"
348,"semiarid.grassland_HPDA"
349,"semiarid.grassland_HPDA"
350,"semiarid.grassland_HPDA"
351,"semiarid.grassland_HPDA"
352,"semiarid.grassland_HPDA"
353,"semiarid.grassland_HPDA"
354,"semiarid.grassland_HPDA"
355,"semiarid.grassland_HPDA"
356,"semiarid.grassland_HPDA"
357,"semiarid.grassland_HPDA"
358,"semiarid.grassland_HPDA"
359,"semiarid.grassland_HPDA"
360,"semiarid.grassland_HPDA"
361,"semiarid.grassland_HPDA"
362,"semiarid.grassland_HPDA"
363,"semiarid.grassland_HPDA"
364,"semiarid.grassland_HPDA"
365,"semiarid.grassland_HPDA"
366,"semiarid.grassland_HPDA"
367,"semiarid.grassland_HPDA"
368,"semiarid.grassland_HPDA"
369,"semiarid.grassland_HPDA"
370,"semiarid.grassland_HPDA"
371,"semiarid.grassland_HPDA"
372,"semiarid.grassland_HPDA"
373,"semiarid.grassland_HPDA"
374,"semiarid.grassland_HPDA"
375,"semiarid.grassland_HPDA"
376,"semiarid.grassland_HPDA"
377,"semiarid.grassland_HPDA"
378,"semiarid.grassland_HPDA"
379,"semiarid.grassland_HPDA"
380,"semiarid.grassland_HPDA"
381,"semiarid.grassland_HPDA"
382,"semiarid.grassland_HPDA"
383,"semiarid.grassland_HPDA"
384,"semiarid.grassland_HPDA"
385,"semiarid.grassland_HPDA"
386,"semiarid.grassland_HPDA"
387,"semiarid.grassland_HPDA"
388,"semiarid.grassland_HPDA"
389,"semiarid.grassland_HPDA"
390,"semiarid.grassland_HPDA"
391,"semiarid.grassland_HPDA"
392,"semiarid.grassland_HPDA"
393,"semiarid.grassland_HPDA"
394,"semiarid.grassland_HPDA"
395,"semiarid.grassland_HPDA"
396,"semiarid.grassland_HPDA"
397,"semiarid.grassland_HPDA"
398,"semiarid.grassland_HPDA"
399,"semiarid.grassland_HPDA"
400,"semiarid.grassland_HPDA"
401,"semiarid.grassland_HPDA"
402,"semiarid.grassland_HPDA"
403,"semiarid.grassland_HPDA"
404,"semiarid.grassland_HPDA"
405,"semiarid.grassland_HPDA"
406,"semiarid.grassland_HPDA"
407,"semiarid.grassland_HPDA"
408,"semiarid.grassland_HPDA"
409,"semiarid.grassland_HPDA"
410,"semiarid.grassland_HPDA"
411,"semiarid.grassland_HPDA"
412,"semiarid.grassland_HPDA"
413,"semiarid.grassland_HPDA"
414,"semiarid.grassland_HPDA"
415,"semiarid.grassland_HPDA"
416,"semiarid.grassland_HPDA"
417,"semiarid.grassland_HPDA"
418,"semiarid.grassland_HPDA"
419,"semiarid.grassland_HPDA"
420,"semiarid.grassland_HPDA"
421,"semiarid.grassland_HPDA"
422,"semiarid.grassland_HPDA"
423,"semiarid.grassland_HPDA"
424,"semiarid.grassland_HPDA"
425,"semiarid.grassland_HPDA"
426,"semiarid.grassland_HPDA"
427,"semiarid.grassland_HPDA"
428,"semiarid.grassland_HPDA"
429,"semiarid.grassland_HPDA"
430,"semiarid.grassland_HPDA"
431,"semiarid.grassland_HPDA"
432,"semiarid.grassland_HPDA"
433,"semiarid.grassland_HPDA"
434,"semiarid.grassland_HPDA"
435,"semiarid.grassland_HPDA"
436,"semiarid.grassland_HPDA"
437,"semiarid.grassland_HPDA"
438,"semiarid.grassland_HPDA"
439,"semiarid.grassland_HPDA"
440,"semiarid.grassland_HPDA"
441,"semiarid.grassland_HPDA"
442,"semiarid.grassland_HPDA"
443,"semiarid.grassland_HPDA"
444,"semiarid.grassland_HPDA"
445,"semiarid.grassland_HPDA"
446,"semiarid.grassland_HPDA"
447,"semiarid.grassland_HPDA"
448,"semiarid.grassland_HPDA"
449,"semiarid.grassland_HPDA"
450,"semiarid.grassland_HPDA"
451,"semiarid.grassland_HPDA"
452,"semiarid.grassland_HPDA"
453,"semiarid.grassland_HPDA"
454,"semiarid.grassland_HPDA"
455,"semiarid.grassland_HPDA"
456,"semiarid.grassland_HPDA"
457,"semiarid.grassland_HPDA"
458,"semiarid.grassland_HPDA"
459,"semiarid.grassland_HPDA"
460,"semiarid.grassland_HPDA"
461,"semiarid.grassland_HPDA"
462,"semiarid.grassland_HPDA"
463,"semiarid.grassland_HPDA"
464,"semiarid.grassland_HPDA"
465,"semiarid.grassland_HPDA"
466,"semiarid.grassland_HPDA"
467,"semiarid.grassland_HPDA"
468,"semiarid.grassland_HPDA"
469,"semiarid.grassland_HPDA"
470,"semiarid.grassland_HPDA"
471,"semiarid.grassland_HPDA"
472,"semiarid.grassland_HPDA"
473,"semiarid.grassland_HPDA"
474,"semiarid.grassland_HPDA"
475,"semiarid.grassland_HPDA"
476,"semiarid.grassland_HPDA"
477,"semiarid.grassland_HPDA"
478,"semiarid.grassland_HPDA"
479,"semiarid.grassland_HPDA"
480,"semiarid.grassland_HPDA"
481,"semiarid.grassland_HPDA"
482,"semiarid.grassland_HPDA"
483,"semiarid.grassland_HPDA"
484,"semiarid.grassland_HPDA"
485,"semiarid.grassland_HPDA"
486,"semiarid.grassland_HPDA"
487,"semiarid.grassland_HPDA"
488,"semiarid.grassland_HPDA"
489,"semiarid.grassland_HPDA"
490,"semiarid.grassland_HPDA"
491,"semiarid.grassland_HPDA"
492,"semiarid.grassland_HPDA"
493,"semiarid.grassland_HPDA"
494,"semiarid.grassland_HPDA"
495,"semiarid.grassland_HPDA"
496,"semiarid.grassland_HPDA"
497,"semiarid.grassland_HPDA"
498,"semiarid.grassland_HPDA"
499,"semiarid.grassland_HPDA"
500,"semiarid.grassland_HPDA"
501,"semiarid.grassland_HPDA"
502,"semiarid.grassland_HPDA"
503,"semiarid.grassland_HPDA"
504,"semiarid.grassland_HPDA"
505,"semiarid.grassland_HPDA"
506,"semiarid.grassland_HPDA"
507,"semiarid.grassland_HPDA"
508,"semiarid.grassland_HPDA"
509,"semiarid.grassland_HPDA"
510,"semiarid.grassland_HPDA"
511,"semiarid.grassland_HPDA"
512,"semiarid.grassland_HPDA"
513,"semiarid.grassland_HPDA"
514,"semiarid.grassland_HPDA"
515,"semiarid.grassland_HPDA"
516,"semiarid.grassland_HPDA"
517,"semiarid.grassland_HPDA"
518,"semiarid.grassland_HPDA"
519,"semiarid.grassland_HPDA"
520,"semiarid.grassland_HPDA"
521,"semiarid.grassland_HPDA"
522,"semiarid.grassland_HPDA"
523,"semiarid.grassland_HPDA"
524,"semiarid.grassland_HPDA"
525,"semiarid.grassland_HPDA"
526,"semiarid.grassland_HPDA"
527,"semiarid.grassland_HPDA"
528,"semiarid.grassland_HPDA"
529,"semiarid.grassland_HPDA"
530,"semiarid.grassland_HPDA"
531,"semiarid.grassland_HPDA"
532,"semiarid.grassland_HPDA"
533,"semiarid.grassland_HPDA"
534,"semiarid.grassland_HPDA"
535,"semiarid.grassland_HPDA"
536,"semiarid.grassland_HPDA"
537,"semiarid.grassland_HPDA"
538,"semiarid.grassland_HPDA"
539,"semiarid.grassland_HPDA"
540,"semiarid.grassland_HPDA"
541,"semiarid.grassland_HPDA"
542,"semiarid.grassland_HPDA"
543,"semiarid.grassland_HPDA"
544,"semiarid.grassland_HPDA"
545,"semiarid.grassland_HPDA"
546,"semiarid.grassland_HPDA"
547,"semiarid.grassland_HPDA"
548,"semiarid.grassland_HPDA"
549,"semiarid.grassland_HPDA"
550,"semiarid.grassland_HPDA"
551,"semiarid.grassland_HPDA"
552,"semiarid.grassland_HPDA"
553,"semiarid.grassland_HPDA"
554,"semiarid.grassland_HPDA"
555,"semiarid.grassland_HPDA"
556,"semiarid.grassland_HPDA"
557,"semiarid.grassland_HPDA"
558,"semiarid.grassland_HPDA"
559,"semiarid.grassland_HPDA"
560,"semiarid.grassland_HPDA"
561,"semiarid.grassland_HPDA"
562,"semiarid.grassland_HPDA"
563,"semiarid.grassland_HPDA"
564,"semiarid.grassland_HPDA"
565,"semiarid.grassland_HPDA"
566,"semiarid.grassland_HPDA"
567,"semiarid.grassland_HPDA"
568,"semiarid.grassland_HPDA"
569,"semiarid.grassland_HPDA"
570,"semiarid.grassland_HPDA"
571,"semiarid.grassland_HPDA"
572,"semiarid.grassland_HPDA"
573,"semiarid.grassland_HPDA"
574,"semiarid.grassland_HPDA"
575,"semiarid.grassland_HPDA"
576,"semiarid.grassland_HPDA"
577,"semiarid.grassland_HPDA"
578,"semiarid.grassland_HPDA"
579,"semiarid.grassland_HPDA"
580,"semiarid.grassland_HPDA"
581,"semiarid.grassland_HPDA"
582,"semiarid.grassland_HPDA"
583,"semiarid.grassland_HPDA"
584,"semiarid.grassland_HPDA"
585,"semiarid.grassland_HPDA"
586,"semiarid.grassland_HPDA"
587,"semiarid.grassland_HPDA"
588,"semiarid.grassland_HPDA"
589,"semiarid.grassland_HPDA"
590,"semiarid.grassland_HPDA"
591,"semiarid.grassland_HPDA"
592,"semiarid.grassland_HPDA"
593,"semiarid.grassland_HPDA"
594,"semiarid.grassland_HPDA"
595,"semiarid.grassland_HPDA"
596,"semiarid.grassland_HPDA"
597,"semiarid.grassland_HPDA"
598,"semiarid.grassland_HPDA"
599,"semiarid.grassland_HPDA"
600,"semiarid.grassland_HPDA"
601,"semiarid.grassland_HPDA"
