index,final_pft_direct,final_source_type,source_file,pam_used_for_clustering,pam_k,pam_cluster,subpft_name,dbf_original_pam_cluster,cropland_final_group,final_pft,final_pft_assignment_method,final_pft_source_final,nearest_ecological_distance,second_nearest_final_pft,second_nearest_ecological_distance,distance_margin,n_vars_used_in_distance
387,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
388,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
389,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.0628885339798611,CroplandPool__Cereal_Croplands,0.0686169469552953,0.00572841297543422,14
390,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
391,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
392,Permanent_Wetlands,standalone_retained_LC1,pftdat,FALSE,,,Permanent_Wetlands,,,Permanent_Wetlands,direct_or_standalone_assignment,standalone_retained_LC1,,,,,
393,Permanent_Wetlands,standalone_retained_LC1,pftdat,FALSE,,,Permanent_Wetlands,,,Permanent_Wetlands,direct_or_standalone_assignment,standalone_retained_LC1,,,,,
394,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
395,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
396,Permanent_Wetlands,standalone_retained_LC1,pftdat,FALSE,,,Permanent_Wetlands,,,Permanent_Wetlands,direct_or_standalone_assignment,standalone_retained_LC1,,,,,
397,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
398,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
399,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
400,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.14999274872626,Open_Vegetation_Complex_P2,0.168364562179832,0.0183718134535719,13
3901,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3902,Evergreen_Needleleaf_Forest__P2,pam_gower_site_table,Evergreen_Needleleaf_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Evergreen_Needleleaf_Forest__P2,,,Evergreen_Needleleaf_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
3903,CroplandPool__Cereal_Croplands,cropland_lc2_cereal_broad,cropland_pool_final_cereal_broad_assignment.csv,TRUE,,Cereal Croplands,CroplandPool__Cereal_Croplands,,Cereal Croplands,CroplandPool__Cereal_Croplands,direct_or_standalone_assignment,cropland_lc2_cereal_broad,,,,,
3904,Open_Vegetation_Complex_P3,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P3,Open_Vegetation_Complex_P3,,,Open_Vegetation_Complex_P3,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3905,Mixed_Forest__P2,pam_gower_site_table,Mixed_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Mixed_Forest__P2,,,Mixed_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
3906,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3907,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3908,CroplandPool__Broad_Croplands,cropland_lc2_cereal_broad,cropland_pool_final_cereal_broad_assignment.csv,TRUE,,Broad Croplands,CroplandPool__Broad_Croplands,,Broad Croplands,CroplandPool__Broad_Croplands,direct_or_standalone_assignment,cropland_lc2_cereal_broad,,,,,
3909,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3910,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3911,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3912,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3913,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3914,Evergreen_Needleleaf_Forest__P2,pam_gower_site_table,Evergreen_Needleleaf_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Evergreen_Needleleaf_Forest__P2,,,Evergreen_Needleleaf_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
3915,Deciduous_Broadleaf_Forest__P1_P2_P3,pam_gower_site_table,Deciduous_Broadleaf_Forest_k5_site_subpft_table.csv,TRUE,5,P2,Deciduous_Broadleaf_Forest__P2,P2,,Deciduous_Broadleaf_Forest__P1_P2_P3,direct_or_standalone_assignment,pam_gower_site_table,,,,,
3916,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3917,Permanent_Wetlands,standalone_retained_LC1,pftdat,FALSE,,,Permanent_Wetlands,,,Permanent_Wetlands,direct_or_standalone_assignment,standalone_retained_LC1,,,,,
3918,Mixed_Forest__P2,pam_gower_site_table,Mixed_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Mixed_Forest__P2,,,Mixed_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
3919,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3920,CroplandPool__Cereal_Croplands,cropland_lc2_cereal_broad,cropland_pool_final_cereal_broad_assignment.csv,TRUE,,Cereal Croplands,CroplandPool__Cereal_Croplands,,Cereal Croplands,CroplandPool__Cereal_Croplands,direct_or_standalone_assignment,cropland_lc2_cereal_broad,,,,,
3921,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3922,CroplandPool__Cereal_Croplands,cropland_lc2_cereal_broad,cropland_pool_final_cereal_broad_assignment.csv,TRUE,,Cereal Croplands,CroplandPool__Cereal_Croplands,,Cereal Croplands,CroplandPool__Cereal_Croplands,direct_or_standalone_assignment,cropland_lc2_cereal_broad,,,,,
3923,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3924,Permanent_Wetlands,standalone_retained_LC1,pftdat,FALSE,,,Permanent_Wetlands,,,Permanent_Wetlands,direct_or_standalone_assignment,standalone_retained_LC1,,,,,
3925,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3926,CroplandPool__Cereal_Croplands,cropland_lc2_cereal_broad,cropland_pool_final_cereal_broad_assignment.csv,TRUE,,Cereal Croplands,CroplandPool__Cereal_Croplands,,Cereal Croplands,CroplandPool__Cereal_Croplands,direct_or_standalone_assignment,cropland_lc2_cereal_broad,,,,,
3927,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3928,Mixed_Forest__P2,pam_gower_site_table,Mixed_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Mixed_Forest__P2,,,Mixed_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
3929,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3930,Mixed_Forest__P2,pam_gower_site_table,Mixed_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Mixed_Forest__P2,,,Mixed_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
3931,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3932,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3933,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3934,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3935,Evergreen_Needleleaf_Forest__P2,pam_gower_site_table,Evergreen_Needleleaf_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Evergreen_Needleleaf_Forest__P2,,,Evergreen_Needleleaf_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
3936,Open_Vegetation_Complex_P4,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P4,Open_Vegetation_Complex_P4,,,Open_Vegetation_Complex_P4,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3937,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3938,Mixed_Forest__P2,pam_gower_site_table,Mixed_Forest_k2_site_subpft_table.csv,TRUE,2,P2,Mixed_Forest__P2,,,Mixed_Forest__P2,direct_or_standalone_assignment,pam_gower_site_table,,,,,
3939,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3940,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
3941,Open_Vegetation_Complex_P2,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P2,Open_Vegetation_Complex_P2,,,Open_Vegetation_Complex_P2,direct_or_standalone_assignment,open_vegetation_complex,,,,,
